"Text","Language",,
" ಮತ್ತು ವಾಸ್ತುಶಿಲ್ಪವು ಗಮನಾರ್ಹವಾಗಿ ಬದಲಾಗುತ್ತದೆ","Kannada",,
" ವಿವಿಧ ಪ್ರದೇಶಗಳಲ್ಲಿ.","Kannada",,
" ಈ ಘಟಕಗಳು ಪ್ರಭಾವಿತವಾಗಿವೆ","Kannada",,
" ವಿವಿಧ ಅಂಶಗಳಿಂದ.","Kannada",,
" ಎಲ್ಲಕ್ಕಿಂತ ಹೆಚ್ಚಾಗಿ","Kannada",,
" ಭೌಗೋಳಿಕ","Kannada",,
" ಮತ್ತು ಗ್ರಾಮೀಣ/ನಗರ ಸೆಟ್ಟಿಂಗ್.","Kannada",,
"ಭಾರತೀಯ ಸಂಸ್ಕೃತಿಯು ಎ","Kannada",,
"ಈ ಹಬ್ಬಗಳು ಬಹಳ ವೈವಿಧ್ಯಮಯವಾಗಿವೆ","Kannada",,
" ಬಹು-ಧರ್ಮದ ಕಾರಣದಿಂದಾಗಿ ಮತ್ತು","Kannada",,
" ಬಹು-ಸಾಂಸ್ಕೃತಿಕ ಭಾರತೀಯ ಸಮಾಜ.","Kannada",,
" ಭಾರತೀಯರು ಹಬ್ಬದ ಸಂದರ್ಭಗಳನ್ನು ಬಹಳವಾಗಿ ಗೌರವಿಸುತ್ತಾರೆ.","Kannada",,
"ಎಲ್ಲಕ್ಕಿಂತ ಹೆಚ್ಚಾಗಿ ಇಡೀ ದೇಶ","Kannada",,
"ಆಚರಣೆಗಳಲ್ಲಿ ಸೇರುತ್ತದೆ","Kannada",,
" ವ್ಯತ್ಯಾಸಗಳನ್ನು ಲೆಕ್ಕಿಸದೆ.","Kannada",,
"ಸಾಂಪ್ರದಾಯಿಕ ಭಾರತೀಯ ಆಹಾರ","Kannada",,
" ಸಂಗೀತ","Kannada",,
" ಮತ್ತು ವಾಸ್ತುಶಿಲ್ಪವು ಗಮನಾರ್ಹವಾಗಿ ಬದಲಾಗುತ್ತದೆ","Kannada",,
" ವಿವಿಧ ಪ್ರದೇಶಗಳಲ್ಲಿ.","Kannada",,
" ಈ ಘಟಕಗಳು ಪ್ರಭಾವಿತವಾಗಿವೆ","Kannada",,
" ವಿವಿಧ ಅಂಶಗಳಿಂದ.","Kannada",,
" ಎಲ್ಲಕ್ಕಿಂತ ಹೆಚ್ಚಾಗಿ","Kannada",,
" ಭೌಗೋಳಿಕ","Kannada",,
" ಮತ್ತು ಗ್ರಾಮೀಣ/ನಗರ ಸೆಟ್ಟಿಂಗ್.","Kannada",,
"ಭಾರತೀಯ ಸಂಸ್ಕೃತಿ ಸ್ಫೂರ್ತಿಯಾಗಿದೆ","Kannada",,
" ಅನೇಕ ಬರಹಗಾರರಿಗೆ.","Kannada",,
" ಭಾರತ ಖಂಡಿತವಾಗಿಯೂ ಒಂದು ಸಂಕೇತವಾಗಿದೆ","Kannada",,
"ಪ್ರಪಂಚದಾದ್ಯಂತ ಏಕತೆ.","Kannada",,
" ಭಾರತೀಯ ಸಂಸ್ಕೃತಿ ಖಂಡಿತವಾಗಿಯೂ ಬಹಳ ಸಂಕೀರ್ಣವಾಗಿದೆ.","Kannada",,
" ಇದಲ್ಲದೆ","Kannada",,
"ಭಾರತೀಯ ಗುರುತಿನ ಪರಿಕಲ್ಪನೆ","Kannada",,
" ಕೆಲವು ತೊಂದರೆಗಳನ್ನು ಉಂಟುಮಾಡುತ್ತದೆ.","Kannada",,
" ಆದಾಗ್ಯೂ","Kannada",,
" ಭಾರತೀಯ ಸಂಸ್ಕೃತಿ ಅಸ್ತಿತ್ವದಲ್ಲಿದೆ.","Kannada",,
" ಈ ವಿಶಿಷ್ಟ ಸೃಷ್ಟಿ","Kannada",,
"ಭಾರತೀಯ ಸಂಸ್ಕೃತಿಯು ಕೆಲವರಿಂದ ಉಂಟಾಗುತ್ತದೆ","Kannada",,
"ಆಂತರಿಕ ಶಕ್ತಿಗಳು.","Kannada",,
" ಎಲ್ಲಕ್ಕಿಂತ ಹೆಚ್ಚಾಗಿ","Kannada",,
"ದೃಢವಾದ ಸಂವಿಧಾನ","Kannada",,
"ಸಾರ್ವತ್ರಿಕ ವಯಸ್ಕ ಫ್ರ್ಯಾಂಚೈಸ್","Kannada",,
" ನೀತಿ","Kannada",,
"ಭಾರತದ ಸಂಸ್ಕೃತಿ ಪ್ರತಿಬಿಂಬಿಸುತ್ತದೆ","Kannada",,
" ನಂಬಿಕೆಗಳು","Kannada",,
" ಮತ್ತು ಧಾರ್ಮಿಕ ಒಲವು","Kannada",,
" ಭಾರತದ ಜನರು.","Kannada",,
"ಭಾರತವು ಸಾಂಸ್ಕೃತಿಕವಾಗಿ ವೈವಿಧ್ಯಮಯ ದೇಶವಾಗಿದೆ","Kannada",,
" ಪ್ರತಿ ಪ್ರದೇಶದೊಂದಿಗೆ","Kannada",,
"ತನ್ನದೇ ಆದ ವಿಶಿಷ್ಟ ಸಂಸ್ಕೃತಿ","Kannada",,
"ಭಾರತೀಯ ಸಂಸ್ಕೃತಿ ಸ್ಫೂರ್ತಿಯಾಗಿದೆ","Kannada",,
" ಅನೇಕ ಬರಹಗಾರರಿಗೆ.","Kannada",,
" ಭಾರತ ಖಂಡಿತವಾಗಿಯೂ ಒಂದು ಸಂಕೇತವಾಗಿದೆ","Kannada",,
"ಪ್ರಪಂಚದಾದ್ಯಂತ ಏಕತೆ.","Kannada",,
" ಭಾರತೀಯ ಸಂಸ್ಕೃತಿ ಖಂಡಿತವಾಗಿಯೂ ಬಹಳ ಸಂಕೀರ್ಣವಾಗಿದೆ.","Kannada",,
" ಇದಲ್ಲದೆ","Kannada",,
"ಭಾರತೀಯ ಗುರುತಿನ ಪರಿಕಲ್ಪನೆ","Kannada",,
" ಕೆಲವು ತೊಂದರೆಗಳನ್ನು ಉಂಟುಮಾಡುತ್ತದೆ.","Kannada",,
" ಆದಾಗ್ಯೂ","Kannada",,
" ಭಾರತೀಯ ಸಂಸ್ಕೃತಿ ಅಸ್ತಿತ್ವದಲ್ಲಿದೆ.","Kannada",,
" ಈ ವಿಶಿಷ್ಟ ಸೃಷ್ಟಿ","Kannada",,
"ಭಾರತೀಯ ಸಂಸ್ಕೃತಿ ಕೆಲವರಿಂದ ಉಂಟಾಗುತ್ತದೆ","Kannada",,
"ಆಂತರಿಕ ಶಕ್ತಿಗಳು.","Kannada",,
" ಎಲ್ಲಕ್ಕಿಂತ ಹೆಚ್ಚಾಗಿ","Kannada",,
"ದೃಢವಾದ ಸಂವಿಧಾನ","Kannada",,
"ಸಾರ್ವತ್ರಿಕ ವಯಸ್ಕ ಫ್ರ್ಯಾಂಚೈಸ್","Kannada",,
" ನೀತಿ","Kannada",,
"ಭಾರತದ ಸಂಸ್ಕೃತಿ ಪ್ರತಿಬಿಂಬಿಸುತ್ತದೆ","Kannada",,
" ನಂಬಿಕೆಗಳು","Kannada",,
" ಮತ್ತು ಧಾರ್ಮಿಕ ಒಲವು","Kannada",,
" ಭಾರತದ ಜನರು.","Kannada",,
"ಭಾರತವು ಸಾಂಸ್ಕೃತಿಕವಾಗಿ ವೈವಿಧ್ಯಮಯ ದೇಶವಾಗಿದೆ","Kannada",,
" ಪ್ರತಿ ಪ್ರದೇಶದೊಂದಿಗೆ","Kannada",,
"ತನ್ನದೇ ಆದ ವಿಶಿಷ್ಟ ಸಂಸ್ಕೃತಿ","Kannada",,
"ಅವನ ಕಾಲದ ಶ್ರೇಷ್ಠ ಯೋಧ.","Kannada",,
" ನವೀನ ಮಿಲಿಟರಿ ತಂತ್ರಗಾರ","Kannada",,
"ಮತ್ತು ನುರಿತ ನಿರ್ವಾಹಕರು","Kannada",,
" ಅವನನ್ನು ಪರಾಕ್ರಮಿ ಯೋಧ ಎಂದು ಪರಿಗಣಿಸಲಾಗಿದೆ.","Kannada",,
" ಅವರಲ್ಲಿದ್ದ ಶ್ರೇಷ್ಠ ಗುಣಗಳು","Kannada",,
"ನಾಯಕನಾಗಿ ಮತ್ತು ರಾಜನು ಅವನನ್ನು ನಿರ್ಮಿಸಲು ಸಹಾಯ ಮಾಡಿದನು","Kannada",,
"ಮರಾಠಾ ಸಾಮ್ರಾಜ್ಯವು ಪ್ರಬಲ ಮತ್ತು ಬೃಹತ್ ಶಕ್ತಿಯಾಗಿ.","Kannada",,
"ಶಿವಾಜಿ ಭೋಂಸ್ಲೆ ಜನಿಸಿದರು","Kannada",,
" ಶಹಾಜಿ ಭೋಂಸ್ಲೆಯವರ ರಾಜಮನೆತನ.","Kannada",,
"ಅವರು ಜನಿಸಿದ ನಾಯಕ ಮತ್ತು ಹೋದರು","Kannada",,
"ಸ್ಥಾಪಿಸಲು ಮೇಲೆ","Kannada",,
" ಮರಾಠ ಸಾಮ್ರಾಜ್ಯ ಅದು","Kannada",,
" ಬಲಿಷ್ಠ ಮೊಘಲರನ್ನು ಕೂಡ ಭಯಭೀತಗೊಳಿಸಿದನು.","Kannada",,
"1627 ಫೆಬ್ರವರಿ 16 ರಂದು ಶಿವನೇರಿಯಲ್ಲಿ ಜನಿಸಿದರು.","Kannada",,
"ಶಿವಾಜಿ ಷಾಜಿಯ ಹೆಮ್ಮೆಯ ಮಗ.","Kannada",,
" ಇದು ಶಿವಾಜಿ ಮಹಾರಾಜರ ಪ್ರಬಂಧ","Kannada",,
" ಇಂಗ್ಲಿಷ್ನಲ್ಲಿ ವೈಭವದ ಬಗ್ಗೆ ನಿಮಗೆ ತಿಳಿಸುತ್ತದೆ","Kannada",,
" ಮತ್ತು ಜನರ ರಾಜನ ಶೌರ್ಯ.","Kannada",,
"ಶಿವಾಜಿಯ ತಾಯಿ ಜೀಜಾಬಾಯಿ","Kannada",,
"ವ್ಯಕ್ತಿತ್ವದಲ್ಲಿ ಕೂಡ ತುಂಬಾ ಬಲಶಾಲಿ.","Kannada",,
" ಅವಳು ಪುಣ್ಯವಂತಳು ಮತ್ತು ಕೊಟ್ಟಳು","Kannada",,
"ಸರಿಯಾದ ಶಿಕ್ಷಣ","Kannada",,
" ತನ್ನ ಮಗ ಅವನನ್ನು ನಿರ್ಭೀತರನ್ನಾಗಿ ಮಾಡಲು.","Kannada",,
" ಅವರು ಕೇಳುತ್ತಾ ಬೆಳೆದರು","Kannada",,
" ಶೌರ್ಯ ಮತ್ತು ವೈಭವ","Kannada",,
" ರಾಮಾಯಣ ಮತ್ತು ಮಹಾಭಾರತ.","Kannada",,
"ಅವರು ಬೋಧನೆಗಳನ್ನು ಸಹ ಅನುಸರಿಸಿದರು","Kannada",,
"ಈ ಎರಡು ಮಹಾಕಾವ್ಯಗಳಲ್ಲಿ ಆದರೆ ಕೂಡ ಒಳಗೂಡಿದೆ","Kannada",,
"ಬಲವಾದ ಸ್ಥಿತಿಸ್ಥಾಪಕ ಗುಣಲಕ್ಷಣಗಳು","Kannada",,
"ಆದರ್ಶ ಹಿಂದೂ ಗುಣದ.","Kannada",,
" ಅವನು ಬಾಗಲು ಕಲಿತಿಲ್ಲ","Kannada",,
"ಯಾವುದೇ ಶಕ್ತಿಗೆ ಕೆಳಗೆ.","Kannada",,
"ಇದರಲ್ಲಿ ಶಿವಾಜಿ ಮಹಾರಾಜರ ಪ್ರಬಂಧ","Kannada",,
"ಸಾಧನೆಗಳು ಅನಾವರಣಗೊಳ್ಳುತ್ತವೆ.","Kannada",,
"ಬದುಕಿರುವ ಜನರಿಗಾಗಿ","Kannada",,
" ಮೊಘಲ್ ಸಾಮ್ರಾಜ್ಯದಿಂದ ನಾಶವಾಯಿತು","Kannada",,
" ಛತ್ರಪತಿ ಶಿವಾಜಿ ಮಹಾರಾಜರ ಜನನ","Kannada",,
" ಒಳ್ಳೆಯ ಶಕುನವಾಗಿತ್ತು.","Kannada",,
" ಕಷ್ಟಗಳ ಸಮಯದಲ್ಲಿ","Kannada",,
"ಮೊಘಲರ ಆಳ್ವಿಕೆಯಲ್ಲಿ ಅವರು ಬಂದರು","Kannada",,
"ಕಿರಣ","Kannada",,
"ಅವಳು ಬಾಲ್ಯದಲ್ಲಿ ಅವನಿಗೆ ಕಲಿಸಿದ ಪಾಠ.","Kannada",,
"ಶಿವಾಜಿ ಬೆಳೆಯುತ್ತಿದ್ದಂತೆ","Kannada",,
" ಜೀಜಾಮಾತೆಯ ಬೋಧನೆಗಳು ಹೊಂದಿದ್ದವು","Kannada",,
" ಅವನ ಮನಸ್ಸಿನ ಮೇಲೆ ಆಳವಾದ ಪರಿಣಾಮ.","Kannada",,
"ನಾವು ನೋಡಿದರೆ","Kannada",,
"ಭಾರತದ ಚುನಾವಣೆಯ ಸನ್ನಿವೇಶ","Kannada",,
" ಸಾಕಷ್ಟು ಶಕ್ತಿ ಹೊಂದಿರುವ ಯಾವುದೇ ಯಾದೃಚ್ಛಿಕ ವ್ಯಕ್ತಿ ಮತ್ತು","Kannada",,
"ಹಣದಿಂದ ಚುನಾವಣೆಗೆ ಸ್ಪರ್ಧಿಸಬಹುದು.","Kannada",,
"ಅವರು ಕೇವಲ ನಾಗರಿಕರಾಗಿರಬೇಕು","Kannada",,
" ದೇಶ ಮತ್ತು ಇರು","Kannada",,
"ಕನಿಷ್ಠ 25 ವರ್ಷ.","Kannada",,
" ಕೆಲವು ಇವೆ","Kannada",,
"ಷರತ್ತುಗಳು ತುಂಬಾ ಸುಲಭ.","Kannada",,
"ವಿಚಿತ್ರವೆಂದರೆ ಸ್ಪರ್ಧಿಸುವುದು","Kannada",,
"ಚುನಾವಣೆಗೆ ಅಗತ್ಯವಿಲ್ಲ","Kannada",,
" ಯಾವುದೇ ಕನಿಷ್ಠ ಶಿಕ್ಷಣ ಅರ್ಹತೆ.","Kannada",,
" ಹೀಗೆ ಎಷ್ಟೋ ಜನ ಅವಿದ್ಯಾವಂತರು ಎಂದು ನೋಡುತ್ತೇವೆ","Kannada",,
" ಮತ್ತು ಅರ್ಹರಲ್ಲದ ಅಭ್ಯರ್ಥಿಗಳು","Kannada",,
"ಅಧಿಕಾರಕ್ಕೆ ಬಂದು ಅನಂತರ ಅದನ್ನು ದುರ್ಬಳಕೆ ಮಾಡಿಕೊಳ್ಳುತ್ತಾರೆ.","Kannada",,
" ಅಶಿಕ್ಷಿತ ಮಂತ್ರಿಗಳಿರುವ ದೇಶ","Kannada",,
" ಅಭಿವೃದ್ಧಿ ಹೊಂದಲು ಅಥವಾ ಸರಿಯಾದ ಮಾರ್ಗದಲ್ಲಿ ಇರಲು ಸಾಧ್ಯವಿಲ್ಲ.","Kannada",,
"ಸರ್ಕಾರದಲ್ಲಿ ನಮಗೆ ವಿದ್ಯಾವಂತ ಮಂತ್ರಿಗಳು ಬೇಕು.","Kannada",,
"ಮಾಡಬಲ್ಲವರು ಅವರೇ","Kannada",,
"ಅವರು ನಿಭಾಯಿಸುವ ರೀತಿಯಲ್ಲಿ ದೇಶದ ಪ್ರಗತಿ","Kannada",,
" ಅನಕ್ಷರಸ್ಥರಿಗಿಂತ ಉತ್ತಮವಾದವುಗಳು.","Kannada",,
" ಅಭ್ಯರ್ಥಿಗಳು ಉತ್ತಮ ಅರ್ಹತೆ ಹೊಂದಿರಬೇಕು","Kannada",,
"ದೊಡ್ಡ ಜವಾಬ್ದಾರಿಯನ್ನು ತೆಗೆದುಕೊಳ್ಳುವ ಸಲುವಾಗಿ","Kannada",,
" ಇಡೀ ರಾಷ್ಟ್ರವನ್ನು ನಡೆಸುತ್ತಿರುವಂತೆ.","Kannada",,
"ಸಂಕ್ಷಿಪ್ತವಾಗಿ","Kannada",,
"ಭ್ರಷ್ಟ ಮತ್ತು ಅವಿದ್ಯಾವಂತ ರಾಜಕಾರಣಿಗಳು","Kannada",,
"ಪರಾವಲಂಬಿಗಳು ತಿನ್ನುವುದಕ್ಕಿಂತ ಕಡಿಮೆಯಿಲ್ಲ","Kannada",,
" ಅಭಿವೃದ್ಧಿ ಬೆಳವಣಿಗೆ ದೂರ","Kannada",,
"ದೇಶ ಮತ್ತು ಅದರ ಸಂಪನ್ಮೂಲಗಳು.","Kannada",,
" ಒಡೆಯಲು ನಾವೆಲ್ಲರೂ ಒಂದಾಗಬೇಕು","Kannada",,
" ಚಕ್ರ ಮತ್ತು ಕೆಲಸ","Kannada",,
" ನಮ್ಮ ದೇಶದ ಸಮೃದ್ಧ ಭವಿಷ್ಯ.","Kannada",,
"ಪತ್ರಿಕೆಯ ಪ್ರಸಾರ ಪ್ರಾರಂಭವಾಯಿತು","Kannada",,
"17 ನೇ ಶತಮಾನ. ವಿವಿಧ ದೇಶಗಳು","Kannada",,
" ಪ್ರಾರಂಭಿಸಲು ವಿಭಿನ್ನ ಟೈಮ್‌ಲೈನ್‌ಗಳನ್ನು ಹೊಂದಿರಿ","Kannada",,
" ಪತ್ರಿಕೆಗಳ ಪ್ರಕಟಣೆ. 1665 ರಲ್ಲಿ","Kannada",,
"1 ನೇ ನೈಜ ಪತ್ರಿಕೆಯನ್ನು ಇಂಗ್ಲೆಂಡ್‌ನಲ್ಲಿ ಮುದ್ರಿಸಲಾಯಿತು.","Kannada",,
" ಮೊದಲ ಅಮೇರಿಕನ್ ಪತ್ರಿಕೆ","Kannada",,
"ವಿದೇಶಿ ಮತ್ತು ದೇಶೀಯ ಎರಡೂ ಸಾರ್ವಜನಿಕ ಘಟನೆಗಳು ಎಂದು ಹೆಸರಿಸಲಾಗಿದೆ","Kannada",,
" 1690 ರಲ್ಲಿ ಮುದ್ರಿಸಲಾಯಿತು. ಹಾಗೆಯೇ","Kannada",,
"ಇದು ಎಲ್ಲಾ 1702 ರಿಂದ ಪ್ರಾರಂಭವಾಗುತ್ತದೆ ಮತ್ತು ಕೆನಡಾದಲ್ಲಿ","Kannada",,
"ವರ್ಷ 1752 ಮೊದಲ ಪತ್ರಿಕೆ ಹೆಸರಿಸಲಾಯಿತು","Kannada",,
" ಹ್ಯಾಲಿಫ್ಯಾಕ್ಸ್ ಗೆಜೆಟ್ ತನ್ನ ಪ್ರಕಟಣೆಯನ್ನು ಪ್ರಾರಂಭಿಸಿತು.","Kannada",,
"19 ನೇ ಶತಮಾನದ ಕೊನೆಯಲ್ಲಿ","Kannada",,
" ತುಂಬಾ ಸಾಮಾನ್ಯವಾಯಿತು ಮತ್ತು","Kannada",,
" ಕಾರಣ ಅಗ್ಗವಾಗಿ ದೊರೆಯುತ್ತಿದ್ದವು","Kannada",,
" ಅವುಗಳ ಮೇಲಿನ ಮುದ್ರಾಂಕ ಶುಲ್ಕ ರದ್ದು. ಆದರೆ","Kannada",,
" 20 ನೇ ಶತಮಾನದ ಆರಂಭದಲ್ಲಿ","Kannada",,
" ಮುದ್ರಣದ ಹಳೆಯ ಕಾರ್ಮಿಕ ವಿಧಾನವನ್ನು ಬದಲಿಸಲು ಪ್ರಾರಂಭಿಸಿತು.","Kannada",,
"ಪತ್ರಿಕೆಯು ಅತ್ಯಂತ ಶಕ್ತಿಶಾಲಿ ಮಾಧ್ಯಮವಾಗಿದೆ","Kannada",,
"ಜನರ ನಡುವೆ ಮಾಹಿತಿಯನ್ನು ಹರಡುವುದು.","Kannada",,
"ಉದ್ಯೋಗದಂತಹ ಉದ್ಯೋಗ ಸಂಬಂಧಿತ ಮಾಹಿತಿ","Kannada",,
" ಖಾಲಿ ಹುದ್ದೆಗಳು ಮತ್ತು ವಿವಿಧ ಸ್ಪರ್ಧಾತ್ಮಕ ಸಂಬಂಧಗಳು","Kannada",,
"ಮಾಹಿತಿ ಕೂಡ","Kannada",,
" ಪತ್ರಿಕೆಯಲ್ಲಿ ಪ್ರಕಟವಾಗಿದೆ.","Kannada",,
"ಹವಾಮಾನ ಮುನ್ಸೂಚನೆ","Kannada",,
"ವ್ಯಾಪಾರ ಸಂಬಂಧಿತ ಸುದ್ದಿ","Kannada",,
" ಆರ್ಥಿಕ","Kannada",,
" ಕ್ರೀಡೆ ಮತ್ತು ಮನರಂಜನೆಗೆ ಸಂಬಂಧಿಸಿದ ಎಲ್ಲಾ","Kannada",,
" ಮಾಹಿತಿಯನ್ನು ಪತ್ರಿಕೆಯಲ್ಲಿ ಪ್ರಕಟಿಸಲಾಗಿದೆ.","Kannada",,
"ಪತ್ರಿಕೆಯೇ ಆದರ್ಶ","Kannada",,
" ಹೆಚ್ಚುತ್ತಿರುವ ಮೂಲ","Kannada",,
"ಪ್ರಚಲಿತ ವಿದ್ಯಮಾನ. ಹೆಚ್ಚಿನ ಮನೆಗಳಲ್ಲಿ","Kannada",,
"ಪ್ರಸ್ತುತ ಸಮಾಜ","Kannada",,
" ಓದುವ ಪತ್ರಿಕೆ.","Kannada",,
"ಡಿಜಿಟಲೀಕರಣದ ಈ ಯುಗದಲ್ಲಿ","Kannada",,
" ಹೇರಳವಾದ ಡೇಟಾ","Kannada",,
"ಅಂತರ್ಜಾಲದಲ್ಲಿ ಲಭ್ಯವಿದೆ.","Kannada",,
"ಹೆಚ್ಚಿನ ಸುದ್ದಿ","Kannada",,
" ನಿಭಾಯಿಸಲು ಚಾನೆಲ್ ಮತ್ತು ಪತ್ರಿಕೆ ಪ್ರಕಾಶನ ಸಂಸ್ಥೆಗಳು","Kannada",,
" ಪ್ರವೃತ್ತಿಯೊಂದಿಗೆ","Kannada",,
" ಡಿಜಿಟಲೀಕರಣವನ್ನು ತೆರೆಯಲಾಗಿದೆ","Kannada",,
"ಅವರ ಸ್ವಂತ ವೆಬ್‌ಸೈಟ್ ಮತ್ತು ಮೊಬೈಲ್ ಅಪ್ಲಿಕೇಶನ್.","Kannada",,
" ಮಾಹಿತಿಯು ಸಾಮಾಜಿಕವಾಗಿ ತಕ್ಷಣವೇ ಹರಡುತ್ತದೆ","Kannada",,
