"Text","Language",,
"Fra at hilse på nogen til ","Danish ",,
"at sige farvel","Danish ",,
" daglige brug af engelske ","Danish ",,
" sætninger i vores samtaler.","Danish ",,
"Enhver kan bruge dette ","Danish ",,
"fremmedsprog i deres daglige liv ","Danish ",,
"med en simpel vejledning. ","Danish ",,
"Der er ikke noget at bekymre ","Danish ",,
"sig om","Danish ",,
"sted","Danish ",,
"fremmedsprog. Her er nogle ","Danish ",,
"grundlæggende engelske sætninger","Danish ",,
"som alle kan tale og forstå.","Danish ",,
" Tjek dette ud og begynd at ","Danish ",,
" praktisere dette i dit daglige","Danish ",,
"  liv. Engelske sætninger til daglig brug","Danish ",,
"Engelske samtalesætninger","Danish ",,
" til nem daglig brug","Danish ",,
"De ord","Danish ",,
"det daglige liv","Danish ",,
"særlig kritiske eller ","Danish ",,
"noget","Danish ",,
"af ordbogen. Tværtimod er","Danish ",,
" dagligt brugte engelske ","Danish ",,
" ord meget enkle og nemme at ","Danish ",,
" forstå såvel som at tale.","Danish ",,
"Godmorgen/ eftermiddag/","Danish ",,
" aften – afhængigt af","Danish ",,
"  tidspunktet på dagen.","Danish ",,
"Hvordan har du det?","Danish ",,
"Hvordan har du det?","Danish ",,
"Hvordan har du det?","Danish ",,
"Det er en fornøjelse at møde dig.","Danish ",,
"Det er rart at møde dig","Danish ",,
"Dejligt at møde dig","Danish ",,
"Jeg er glad for at møde dig.","Danish ",,
"Jeg er glad for at se dig.","Danish ",,
"Engelske samtalesætninger til afslappet hilsen","Danish ",,
"Hej/Hej","Danish ",,
"Hvad så?","Danish ",,
"Hvordan går det?","Danish ",,
"Hvordan går det?","Danish ",,
"Hvordan går din dag?","Danish ",,
"Hvordan har du haft det?","Danish ",,
"Hvordan er din dag?","Danish ",,
"Godt at se dig.","Danish ",,
"Sætninger til daglig ","Danish ",,
"brug ved svar på hilsener","Danish ",,
"Jeg har det meget godt","Danish ",,
"Mange tak. Hvordan har du det?","Danish ",,
"Jeg har det fint","Danish ",,
"Vidunderligt","Danish ",,
"Daglige samtalesætninger ","Danish ",,
"på engelsk til introduktion","Danish ",,
"Hej. Mit navn er …","Danish ",,
"Lad mig introducere mig selv. Jeg er …","Danish ",,
"Dejligt at møde dig. Jeg er …","Danish ",,
"Må jeg introducere mig selv? Jeg er…","Danish ",,
"Jeg vil gerne præsentere mig selv. Jeg er …","Danish ",,
"Det er en fornøjelse at se dig. Jeg er…","Danish ",,
"Det glæder mig at møde dig. Jeg er …","Danish ",,
"Dagligt brugte engelske ","Danish ",,
"ord til at introducere andre","Danish ",,
"Daglige samtalesætninger ","Danish ",,
"på engelsk til at udtrykke taknemmelighed","Danish ",,
"Udover at sige","Danish ",,
"flere andre ord til at udtrykke","Danish ",,
" din taknemmelighed. ","Danish ",,
" Følgende er nogle af dem:","Danish ",,
"Jeg sætter stor pris på din hjælp.","Danish ",,
"Der er ingen ord til at vise min påskønnelse!","Danish ",,
"Tusind tak for din hjælp.","Danish ",,
"Jeg skylder dig meget.","Danish ",,
"Det du har gjort betyder meget for mig.","Danish ",,
"Af hele mit hjerte tak for alt.","Danish ",,
"Det er så venligt af dig.","Danish ",,
"Hvordan kan jeg nogensinde takke dig?","Danish ",,
"Engelske samtalesætninger til at svare på nogens tak","Danish ",,
"Jeg er glad for","Danish ",,
"Ikke noget særligt.","Danish ",,
"Det var min fornøjelse.","Danish ",,
"Min fornøjelse.","Danish ",,
"Selv tak.","Danish ",,
"Du er altid velkommen.","Danish ",,
"Læs også: Hvordan øver man ","Danish ",,
"sig i at tale engelsk?","Danish ",,
" Onlineøvelser for at forbedre dine engelskkundskaber","Danish ",,
"Engelsk samtale til daglig brug for at lykønske","Danish ",,
"Tillykke! Du fortjener det!","Danish ",,
"Fantastiske! Tillykke.","Danish ",,
"Jeg vil gerne lykønske dig med...","Danish ",,
"Det var fremragende. Tillykke!","Danish ",,
"Dagligt brugte engelske ord ","Danish ",,
"som svar på lykønskninger","Danish ",,
"Det er meget venligt af dig.","Danish ",,
"Tak/Tak/ Mange tak.","Danish ",,
"Tak for din venlighed.","Danish ",,
"Tak for dine venlige ord.","Danish ",,
"Giv gode nyheder med nemme ord","Danish ",,
"Jeg er virkelig glad for at fortælle dig...","Danish ",,
"Jeg har nogle gode nyheder til dig...","Danish ",,
"Jeg er så spændt på at fortælle dig","Danish ",,
"Jeg er virkelig glad ","Danish ",,
"for at kunne fortælle dig","Danish ",,
"Svar på gode nyheder","Danish ",,
"Det lyder godt!","Danish ",,
"Vidunderlig! Tak fordi du deler.","Danish ",,
"Wow! Det kan jeg ikke tro!","Danish ",,
"Det er jeg så glad for at høre!","Danish ",,
"At give dårlige nyheder ","Danish ",,
"i nemme engelske sætninger","Danish ",,
"Jeg ved","Danish ",,
"Jeg er så ked af det men…","Danish ",,
"Jeg ved virkelig ikke hvordan jeg skal sige det","Danish ",,
"Jeg er bange for at informere dig om...","Danish ",,
"Det er min uheldige pligt at fortælle dig","Danish ",,
"Svar på dårlige nyheder","Danish ",,
" ved hjælp af grundlæggende sætninger","Danish ",,
"Det er forfærdeligt!","Danish ",,
"Når som helst du har","Danish ",,
" brug for at tale","Danish ",,
"Det er jeg ked af at høre…","Danish ",,
"Det er jeg ked af at høre. ","Danish ",,
"Accepter min dybeste medfølelse.","Danish ",,
"Talte engelske sætninger","Danish ",,
"der bruges i hverdagen til at lave aftaler","Danish ",,
"Har du tid til rådighed i denne uge?","Danish ",,
"Ville i morgen aften være i orden for dig?","Danish ",,
"Er du ledig den 6.?","Danish ",,
"Kan du give mig en tid på fredag?","Danish ",,
"Lad os mødes i weekenden.","Danish ",,
"Grundlæggende engelske ","Danish ",,
"sætninger til at acceptere en aftale","Danish ",,
"Mandag ville være perfekt - Skift dagen efter behov.","Danish ",,
"Jo da. Jeg kommer.","Danish ",,
"Jeg vil være der på det tidspunkt.","Danish ",,
"Ja","Danish ",,
"Nemme sætninger til at afvise en aftale","Danish ",,
"Jeg er ked af at sige","Danish ",,
"men jeg kan ikke mødes på denne søndag.","Danish ",,
"Undskyld. Jeg tror ikke","Danish ",,
"Undskyld. Jeg har en anden aftale på det tidspunkt.","Danish ",,
"Generel samtale","Danish ",,
"Kan du give mig din bærbare taske? (Daglig brug)","Danish ",,
"Kan du give mig din bærbare taske? (Officiel brug)","Danish ",,
"Talte engelske samtalesætninger sæt ét","Danish ",,
"Lad os se nærmere på nogle ","Danish ",,
"almindelige sætninger til ","Danish ",,
"engelsk samtaleøvelse:","Danish ",,
"Hvilke sprog taler du flydende?","Danish ",,
" Hvor mange sprog har du under bæltet?","Danish ",,
"Kender du andre sprog? Hvor meget","Danish ",,
" har du i din by?","Danish ",,
"Hvad er navnet på din præsident?","Danish ",,
" Hvor planlægger du at tilbringe din ferie?","Danish ",,
"Hvad er den aktuelle temperatur?","Danish ",,
"Hvad er Englands hovedstad?","Danish ",,
"Hvad er det samlede antal brødre","Danish ",,
"Hvad er din branche?","Danish ",,
"Så hvad gør du helt præcist? ","Danish ",,
"Hvad er dine arbejdstider? ","Danish ",,
"Hvilket år blev du født?","Danish ",,
"Hvilket land er du fra?","Danish ",,
"Hvornår vil du gerne afsted?","Danish ",,
"Modtag venligst mine varmeste hilsner.","Danish ",,
" Hvad kan jeg gøre for at hjælpe dig?","Danish ",,
"Hvad tror du","Danish ",,
"Hvad vil du købe?","Danish ",,
"Du kan tage plads her. ","Danish ",,
"Tag venligst plads her.","Danish ",,
"Vær venlig at acceptere","Danish ",,
" min undskyldning","Danish ",,
" er virkelig travl. Sir","Danish ",,
"  dette bord er reserveret.","Danish ",,
"Talte engelske samtalesætninger sæt to","Danish ",,
"Hvilket bord vil du sidde ved?","Danish ",,
"Sir","Danish ",,
" Vil du sidde udenfor?","Danish ",,
"Vi har et værelse på anden sal.","Danish ",,
"Vedlæg venligst en madliste!","Danish ",,
"Hvad er der på menuen i aften?","Danish ",,
"Hvor mange kg æbler leder ","Danish ",,
"du efter? Det er tid for mig at spise.","Danish ",,
"Vil du have en kop te?","Danish ",,
"Hvad vil du spise i dag? ","Danish ",,
"Hvad er navnet på drikkevaren? ","Danish ",,
"Er det muligt for dig at brygge noget te?","Danish ",,
"Kan du lide at lave mad?","Danish ",,
"Hvad er det præcis du leder ","Danish ",,
"efter? Er det en stor ","Danish ",,
"eller lille genstand?","Danish ",,
"Er du interesseret i en ","Danish ",,
"pakke? Venligst","Danish ",,
"Hvilke typer drikkevarer ","Danish ",,
"er tilgængelige?","Danish ",,
"Har du peber ved hånden?","Danish ",,
" Tilsæt venligst salt.","Danish ",,
"Vil du have noget ketchup?","Danish ",,
" Der vil ikke være ketchup.","Danish ",,
"Læs også: 5 Youtube-kanaler","Danish ",,
" at følge for at lære engelsk","Danish ",,
"Talte engelske samtalesætninger sæt tre","Danish ",,
"Dette bord vil blive optaget ","Danish ",,
"af en anden. Jeg undskylder","Danish ",,
"at jeg har ladet dig vente.","Danish ",,
"Er der noget","Danish ",,
"drikke? Jeg vil gerne se på menuen.","Danish ",,
"Vil du have den med suppe ","Danish ",,
"eller salat?","Danish ",,
"Er det muligt for dig at ","Danish ",,
"anskaffe dig noget vand? ","Danish ",,
"Undskyld mig.","Danish ",,
"Om et øjeblik vil jeg fortælle dig.","Danish ",,
" Jeg venter på","Danish ",,
"ikke klar. Hvad ville du foreslå?","Danish ",,
"Har du en salat på bordet? ","Danish ",,
"Er der noget for vegetarer?","Danish ",,
"Jeg vil gerne have noget ","Danish ",,
"mere salat. Er det muligt at få mere brød?","Danish ",,
"Denne fisk er ikke engang ","Danish ",,
" nærheden af ​​at være frisk.","Danish ",,
"  Har du et badeværelse?","Danish ",,
"Er det muligt at få det i en","Danish ",,
" pakke? Retten er ret varm","Danish ",,
" så fortsæt med forsigtighed.","Danish ",,
"Jeg håber du havde det godt ","Danish ",,
"med maden. Er der noget mere jeg skal vide?","Danish ",,
"Talte engelske samtalesætninger sæt fire","Danish ",,
"Vil du have noget sødt? ","Danish ",,
"Er det okay","Danish ",,
"checken? Opret venligst en konto.","Danish ",,
"Hold venligst dine konti ","Danish ",,
"adskilt. Er det muligt at erhverve en kvittering?","Danish ",,
"Du kan betale for mine tjenester.","Danish ",,
" Jeg tror","Danish ",,
"Fasthold ændringen. Hvem ","Danish ",,
"skal købe? jeg vil købe det.","Danish ",,
"Hvad skal du få? Hvornår ","Danish ",,
"er aftensmaden klar?","Danish ",,
"Aftensmaden er næsten klar.","Danish ",,
" Tag venligst plads ved bordet.","Danish ",,
"Vil du prøve en bid?","Danish ",,
" Kan du give mig saltet?","Danish ",,
"Kan du give mig din tallerken? ","Danish ",,
"Kan du give brødet videre?","Danish ",,
"Vil du venligst hælde noget mere","Danish ",,
" salat op til mig? Er der mere ","Danish ",,
" af dette tilgængeligt?","Danish ",,
"Hvad skal du have til dessert?","Danish ",,
"Har du dit helbred i dine hænder?","Danish ",,
"At tale er én ting","Danish ",,
"Hyperpolyglots","Danish ",,
"lærer et sprog ved at tale så meget ","Danish ",,
"som muligt med det samme. Vent ikke","Danish ",,
"indtil du mener","Danish ",,
"tilstrækkeligt. Selvom dit engelsk ","Danish ",,
"er trægt og rudimentært","Danish ",,
"begynde at kommunikere med andre ","Danish ",,
"mennesker med det samme.","Danish ",,
"Koncentrer dig også om smidighed ","Danish ",,
"og vær ikke for bekymret over at ","Danish ",,
"lave fejl. Du vil gradvist rette ","Danish ",,
"op på dem","Danish ",,
"tale","Danish ",,
"Brug en række ressourcer","Danish ",,
"I dag er der et væld af ","Danish ",,
"tilgængelige værktøjer til ","Danish ",,
"at hjælpe dig med at lære engelsk","Danish ",,
"herunder applikationer som MosaLingua ","Danish ",,
"og Quizlet. Websteder som The Fluent ","Danish ",,
"Life kan hjælpe dig meget i din tale ","Danish ",,
"engelsk praksis.","Danish ",,
"Udnyt de mange ressourcer","Danish ",,
"til din rådighed","Danish ",,
"på en måde","Danish ",,
"Eksperimenter med forskellige applikationer","Danish ",,
"podcasts","Danish ",,
"Prøv dog og se","Danish ",,
"Sæt mål og arbejd på dem på en regelmæssig basis","Danish ",,
"Udfør ikke bare en masse tilfældige ","Danish ",,
"engelske aktiviteter nu. Det er en ","Danish ",,
"kombination af aktiviteter at se ","Danish ",,
"Game of Thrones","Danish ",,
" mens du kører på arbejde og skrive","Danish ",,
"  breve på engelsk","Danish ",,
"At sætte mål og arbejde hen ","Danish ",,
"imod dem på regelmæssig basis ","Danish ",,
"vil hjælpe dig med at lære ","Danish ",,
"mere effektivt. Dette får dig ","Danish ",,
"motiveret","Danish ",,
"motiverer dig til at fortsætte","Danish ",,
" indtil det bliver en anden natur.","Danish ",,
"  Fastgør dine mål","Danish ",,
"  mål","Danish ",,
"  hvordan du når dertil","Danish ",,
"Lav en plan for din praksis","Danish ",,
"Der er en række strategier","Danish ",,
"der kan hjælpe dig med at blive ","Danish ",,
"flydende","Danish ",,
"(faste bevægelser)","Danish ",,
"modersmål til engelsk og tilbage","Danish ",,
"okklusioner for at forbedre udtalen","Danish ",,
" opdage mnemoniske enheder til ","Danish ",,
" at huske ordforråd bedre","Danish ",,
" og distancerevisionstræninger","Danish ",,
" så ordforrådet forbliver frisk ","Danish ",,
" i dit sind","Danish ",,
" fuldstændig automatiseret.","Danish ",,
"Du kan fremskynde din succes","Danish ",,
" ved at være strategisk i ","Danish ",,
" stedet for blot at lave ","Danish ",,
" mærkelige ting på engelsk","Danish ",,
" med gode ressourcer","Danish ",,
" og muligvis endda en coach til","Danish ",,
"  at rådgive dig. Husk","Danish ",,
"   kræver et stykke tid at lære","Danish ",,
"    hvad der virker bedst for dig.","Danish ",,
"Konklusion","Danish ",,
"Ovennævnte grundlæggende engelske","Danish ",,
" sætninger bruges ofte i vores daglige","Danish ",,
"  samtaler. Hvis du ledte efter","Danish ",,
"  hvordan du kan forbedre engelsk ","Danish ",,
"  til brug i det daglige liv","Danish ",,
"   fået alle dine svar nu. Du kan bruge","Danish ",,
"    disse i de nødvendige situationer. ","Danish ",,
"    For at få bedre fat i det","Danish ",,
"    lytte til andre mennesker","Danish ",,
"    bruger disse sætninger. Observer deres tone og udtale.","Danish ",,
"Så nu ved du","Danish ",,
"bruger engelske sætninger ","Danish ",,
"til daglig brug","Danish ",,
" du at begynde at praktisere disse? ","Danish ",,
" Del dit svar med os i ","Danish ",,
" kommentarfeltet nedenfor.","Danish ",,
" chhatrapati Shivaji Maharaj var","Danish ",,
"  grundlæggeren af ​​Maratha-imperiet.","Danish ",,
"   Chh. Shivajiraje Bhosale blev født i","Danish ",,
"    Shivneri Fort i Maharashtra den 19.","Danish ",,
"     februar 1630 af mor Raajmata Jijabai","Danish ",,
"    og far Shri.Shahajiraje Bhosale.","Danish ",,
"Det siges","Danish ",,
"til Lord Shiva i Shivneri ","Danish ",,
"Fort om en modig søn og","Danish ",,
"beholdt sin søns navn ","Danish ",,
"som Shivaji efter den ","Danish ",,
"hinduistiske gud Shiva.[1]","Danish ",,
"Chh.Shivaji Maharaj er en ","Danish ",,
"af ​​de ærede historiske ","Danish ",,
"personer i Maharashtra.","Danish ",,
" Han skabte en uafhængig ","Danish ",,
" og suveræn stat i Maharashtra-regionen. ","Danish ",,
" I løbet af tiden","Danish ",,
"  plads i Maharashtras politiske ","Danish ",,
"  sfære","Danish ",,
"  for Marathi-stolthed.[2]","Danish ",,
"Chh. Shivaji Maharaj blev ","Danish ",,
"født ved Shivneri-fortet nær ","Danish ",,
"Junnar i Pune-distriktet den ","Danish ",,
"19. februar 1630. Chh. Shivaji ","Danish ",,
"Maharajs mor","Danish ",,
"var datter af Shri.Lakhuji ","Danish ",,
"Jadhavrao fra Sindkhed. Hans ","Danish ",,
"far Shri.Shahajiraje Bhosale ","Danish ",,
"var en fremtrædende sardar i ","Danish ",,
"Deccan. Han arbejdede under de ","Danish ",,
"lokale Deccan-sultanater. På","Danish ",,
" tidspunktet for Chh.Shivaji Maharajs","Danish ",,
"  fødsel var det meste af territoriet","Danish ",,
"   i Maharashtra under besiddelse af ","Danish ",,
"   Nizamshah af Ahmednagar og Adilshah","Danish ",,
"   af Bijapur","Danish ",,
"Deccan-sultanaterne. I Konkans ","Danish ",,
"kystbælt var der to sømagter","Danish ",,
"der kæmpede om kontrollen","Danish ",,
" kristne portugisiske og den","Danish ",,
"  muslimske Siddi. Briterne ","Danish ",,
"  og hollænderne","Danish ",,
"  gang med at udvide deres ","Danish ",,
"  handel","Danish ",,
"  fabrikker ved kysten. Mughalerne","Danish ",,
"  siden kejser Akbars periode ønskede","Danish ",,
"   at udvide deres magt i syd. ","Danish ",,
"   Mughals lancerede en kampagne ","Danish ",,
"   for at erobre Nizamshahi-kongeriget. ","Danish ",,
"   Adilshah fra Bijapur allierede ","Danish ",,
"   sig med Mughals i denne kampagne.","Danish ",,
"    Shri. Shahajiraje Bhosale ","Danish ",,
"    forsøgte at gøre oprør","Danish ",,
"    han kunne ikke modstå den ","Danish ",,
"    kombinerede magt fra Mughals ","Danish ",,
"    og Adilshahi. Nizamshahi-riget ","Danish ",,
"    sluttede i 1636. Derefter blev","Danish ",,
"     Shri.Shahajiraje en Sardar ","Danish ",,
"     af Adilshah af Bijapur og","Danish ",,
"      blev udstationeret i Karnataka","Danish ",,
"      Regionen bestående af Pune","Danish ",,
"      Supe","Danish ",,
"      Parganas beliggende mellem","Danish ",,
"       Bhima og Nira floderne","Danish ",,
"        som var tildelt Shri. ","Danish ",,
"        Shahajiraje som jagir ","Danish ",,
"        blev videreført af Adilshah. ","Danish ",,
"        Shri. Shahajiraje blev også ","Danish ",,
"     tildelt en jagir fra Bangalore. ","Danish ",,
"    Raajmata Jijabai og Chh.","Danish ",,
"   Shivaji Maharaj","Danish ",,
"   sig et par år hos Shri.","Danish ",,
"   Shahajiraje i Bangalore ","Danish ",,
"   indtil Chh. Shivaji Maharaj ","Danish ",,
"   var tolv år gammel. Shri. ","Danish ",,
"   Shahaji betroede administrationen ","Danish ",,
"   af ​​Lakshmi jagir til Chh.Shivaji ","Danish ",,
"   og Mata Jijabai. Chh. Shivaji ","Danish ",,
"   voksede op midt i bakkerne og ","Danish ",,
"   dalene i Pune-regionen under ","Danish ",,
"   vejledning af sin mor Raajmata ","Danish ",,
"   Jijabai. Hans mor Jijabai ","Danish ",,
"   underviste Chh. Shivaji Maharaj","Danish ",,
"    historierne om de hinduistiske","Danish ",,
"    eposer og skrifter som","Danish ",,
"     Mahabharata og også historier","Danish ",,
"      om gamle mægtige hinduiske ","Danish ",,
"    kongeriger som Vijayanagara. ","Danish ",,
"    Chh. Shivaji Maharaj blev også ","Danish ",,
"  trænet i guerillakrig. ","Danish ",,
"  Han besejrede Mughal-styrkerne i Rai Bagan.","Danish ",,
"  Indien er et land","Danish ",,
" kan prale af en rig kultur.","Danish ",,
"Kulturen i Indien refererer til","Danish ",,
" en samling af mindre unikke kulturer.","Danish ",,
" Indiens kultur omfatter","Danish ",,
" af tøj","Danish ",,
"religioner","Danish ",,
" mad og kunst i Indien.","Danish ",,
"Mest bemærkelsesværdigt","Danish ",,
"Indisk kultur har været","Danish ",,
"påvirket af flere udenlandske","Danish ",,
"kulturer gennem sin historie.","Danish ",,
" Også historien","Danish ",,
"af Indiens kultur","Danish ",,
"er flere mil","Danish ",,
"lennia gammel.","Danish ",,
"Først og fremmest","Danish ",,
"Indisk oprindelse religioner er hinduisme","Danish ",,
" buddhisme","Danish ",,
" Alle disse religioner","Danish ",,
"er baseret på karma og dharma.","Danish ",,
"Desuden er disse fire","Danish ",,
"kaldet indiske religioner.","Danish ",,
" Indiske religioner er en hovedsag","Danish ",,
" kategori af verdensreligioner langs","Danish ",,
" med Abrahams religioner.","Danish ",,
"Det er mange fremmede religioner også","Danish ",,
"også til stede i Indien.","Danish ",,
"Disse fremmede religioner","Danish ",,
"omfatter Abrahams religioner.","Danish ",,
" Abrahams religioner i Indien","Danish ",,
" bestemt er jødedommen","Danish ",,
" Kristendommen og islam.","Danish ",,
" Udover Abrahams religioner","Danish ",,
"Zoroastrianisme og bahá'í-tro er","Danish ",,
"de andre fremmede religioner","Danish ",,
" som findes i Indien.","Danish ",,
" Følgelig er tilstedeværelsen af","Danish ",,
" så mange forskellige religioner har givet anledning","Danish ",,
" til tolerance og","Danish ",,
" sekularisme i indisk kultur.","Danish ",,
"Det fælles familiesystem er","Danish ",,
" det fremherskende system af indisk kultur.","Danish ",,
"Mest bemærkelsesværdigt er familiemedlemmerne","Danish ",,
" består af forældre","Danish ",,
"børns ægtefæller og afkom.","Danish ",,
" Alle disse familier","Danish ",,
"medlemmer bor sammen.","Danish ",,
" Desuden den ældste","Danish ",,
" det mandlige medlem er familiens overhoved.","Danish ",,
"Indien fejrer en kæmpe","Danish ",,
" antal festivaler.","Danish ",,
" Disse festivaler er meget forskellige","Danish ",,
" på grund af multireligiøse og","Danish ",,
" multikulturelt indiske samfund.","Danish ",,
